variant,report_id,phase,phase_disclosure_idx,occurrence_idx,standard_id,disclosure_id,material_topic,overall,notes,evidence_unrecoverable,n_requirement_verdicts,is_omitted,is_external_ref,is_no_page_pack,is_empty_verdicts
a0,Bangchak2024,phase3,0,0,GRI 2,2-1,,partial,,False,4,False,False,False,False
a0,Bangchak2024,phase3,1,0,GRI 2,2-2,,partial,,False,5,False,False,False,False
a0,Bangchak2024,phase3,2,0,GRI 2,2-3,,partial,,False,4,False,False,False,False
a0,Bangchak2024,phase3,3,0,GRI 2,2-4,,pass,,False,2,False,False,False,False
a0,Bangchak2024,phase3,4,0,GRI 2,2-5,,no_evidence,no page pack: page_list_no_matching_chunks; system limitation — human review required,True,0,False,False,True,True
a0,Bangchak2024,phase3,5,0,GRI 2,2-6,,external_verification,no page pack: external_document_reference,False,0,False,True,True,True
a0,Bangchak2024,phase3,6,0,GRI 2,2-7,,no_evidence,no page pack: page_list_no_matching_chunks; system limitation — human review required,True,0,False,False,True,True
a0,Bangchak2024,phase3,7,0,GRI 2,2-8,,no_evidence,no page pack: page_list_no_matching_chunks; system limitation — human review required,True,0,False,False,True,True
a0,Bangchak2024,phase3,8,0,GRI 2,2-9,,external_verification,no page pack: external_document_reference,False,0,False,True,True,True
a0,Bangchak2024,phase3,9,0,GRI 2,2-10,,external_verification,no page pack: external_document_reference,False,0,False,True,True,True
a0,Bangchak2024,phase3,10,0,GRI 2,2-11,,external_verification,no page pack: external_document_reference,False,0,False,True,True,True
a0,Bangchak2024,phase3,11,0,GRI 2,2-12,,pass,,False,4,False,False,False,False
a0,Bangchak2024,phase3,12,0,GRI 2,2-13,,partial,,False,3,False,False,False,False
a0,Bangchak2024,phase3,13,0,GRI 2,2-14,,no_evidence,,False,2,False,False,False,False
a0,Bangchak2024,phase3,14,0,GRI 2,2-15,,external_verification,no page pack: external_document_reference,False,0,False,True,True,True
a0,Bangchak2024,phase3,15,0,GRI 2,2-16,,no_evidence,,False,2,False,False,False,False
a0,Bangchak2024,phase3,16,0,GRI 2,2-17,,external_verification,no page pack: external_document_reference,False,0,False,True,True,True
a0,Bangchak2024,phase3,17,0,GRI 2,2-18,,external_verification,no page pack: external_document_reference,False,0,False,True,True,True
a0,Bangchak2024,phase3,18,0,GRI 2,2-19,,external_verification,no page pack: external_document_reference,False,0,False,True,True,True
a0,Bangchak2024,phase3,19,0,GRI 2,2-20,,external_verification,no page pack: external_document_reference,False,0,False,True,True,True
a0,Bangchak2024,phase3,20,0,GRI 2,2-21,,omitted,no page pack: omitted,False,0,True,False,True,True
a0,Bangchak2024,phase3,21,0,GRI 2,2-22,,pass,,False,1,False,False,False,False
a0,Bangchak2024,phase3,22,0,GRI 2,2-23,,partial,,False,10,False,False,False,False
a0,Bangchak2024,phase3,23,0,GRI 2,2-24,,partial,,False,4,False,False,False,False
a0,Bangchak2024,phase3,24,0,GRI 2,2-25,,no_evidence,no page pack: page_list_no_matching_chunks; system limitation — human review required,True,0,False,False,True,True
a0,Bangchak2024,phase3,25,0,GRI 2,2-26,,partial,,False,2,False,False,False,False
a0,Bangchak2024,phase3,26,0,GRI 2,2-27,,no_evidence,,False,6,False,False,False,False
a0,Bangchak2024,phase3,27,0,GRI 2,2-28,,no_evidence,,False,1,False,False,False,False
a0,Bangchak2024,phase3,28,0,GRI 2,2-29,,pass,,False,3,False,False,False,False
a0,Bangchak2024,phase3,29,0,GRI 2,2-30,,no_evidence,,False,2,False,False,False,False
a0,Bangchak2024,phase5,0,0,GRI 3,3-1,,partial,,False,3,False,False,False,False
a0,Bangchak2024,phase5,1,0,GRI 3,3-2,,pass,,False,2,False,False,False,False
a0,Bangchak2024,phase5,2,0,GRI 3,3-3,Air emissions,partial,,False,11,False,False,False,False
a0,Bangchak2024,phase5,3,0,GRI 3,3-3,Anti-corruption & Anti-competitive behavior,partial,,False,11,False,False,False,False
