case_id,stratum,report_id,phase,standard_id,disclosure_id,material_topic,requirement_id,occurrence_idx,human_correct_status,human_systems_correct,human_notes
001,0000,Mubadala2024,phase5,GRI 3,3-3,"Climate Adaptation, Resilience & Transition",d.i,0,partial,"none",
002,0000,Mubadala2024,phase6,GRI 306: Waste 2020,306-4,Waste Management,c.iii,0,partial,"none",
003,0001,HPCL2023,phase5,GRI 3,3-3,Manpower Management (GRI OGSS Topic: Employment Practices),c,0,pass,"2,3,4",
004,0001,HPCL2023,phase5,GRI 3,3-3,Manpower Management (GRI OGSS Topic: Employment Practices),d.iii,0,pass,"1,2,4",
005,0001,HPCL2024,phase6,GRI 403: Occupational Health and Safety 2018,403-6,Occupational health and safety (GRI OGSS Topic: Occupational Health and Safety),b,0,pass,"1,3,4",
006,0001,Bangchak2025,phase6,GRI 203: Indirect Economic Impacts 2016,203-1,Economic impacts,a,0,pass,"2",
007,0001,Bangchak2024,phase6,GRI 411: Rights of Indigenous Peoples 2016,411-1,Rights of indigenous peoples,b.i,0,pass,"1,2",
008,0001,HPCL2023,phase5,GRI 3,3-3,Human Rights (GRI OGSS Topic: Forced Labour and Modern Slavery),d.ii,0,partial,"none",
009,0001,Bangchak2024,phase5,GRI 3,3-3,Supplier chain management,b,0,pass,"1,4",
010,0010,Bangchak2024,phase5,GRI 3,3-3,Rights of indigenous peoples,c,0,pass,"1,3,4",
011,0010,Bangchak2025,phase6,GRI 205: Anti-corruption 2016,205-3,Anti-corruption & Anti-competitive behavior,a,0,partial,"4",
012,0010,Mubadala2023,phase5,GRI 3,3-3,National Talent Enhancement,d.i,0,pass,"2,3,4",
013,0010,Mubadala2023,phase3,GRI 2,2-25,__none__,e,0,partial,"1",
014,0010,Bapco2023,phase6,GRI 403: Occupational Health and Safety 2018,403-1,"Health, safety and well-being",a.i,0,partial,"3",
015,0010,OKQ82024,phase5,GRI 3,3-3,Employment,e.ii,0,partial,"1",
016,0010,Bapco2023,phase6,GRI 413: Local Communities 2016,413-1,Local Community Impact and Investment,a.vii,0,partial,"3",
017,0010,OKQ82023,phase5,GRI 3,3-3,Employment,e.i,0,pass,"1,2,3",
018,0011,Bapco2024,phase5,GRI 3,3-3,Investments in Renewables & Clean Tech,d.i,0,pass,"1,2",
019,0011,Bangchak2025,phase5,GRI 3,3-3,Freedom of association and collective bargaining,c,0,partial,"1,3",
020,0011,OKQ82023,phase6,GRI 403: Occupational Health and Safety 2018,403-10,Occupational health and safety,c.iii,0,partial,"1,3",
021,0011,Bangchak2024,phase6,GRI 306: Waste 2020,306-5,Waste,b.i,0,no_evidence,"1,4",
022,0011,Bapco2023,phase6,GRI 305: Emissions 2016,305-3,Emissions & Climate Action,b,0,pass,"1,3",
023,0011,Desfa2023,phase6,GRI 203: Indirect Economic Impacts 2016,203-1,Economic impacts,b,0,pass,"2,4",
024,0011,Mubadala2024,phase5,GRI 3,3-3,Innovation and Digital Transformation,e.i,0,partial,"1,2",
025,0011,Mubadala2024,phase6,GRI 306: Waste 2020,306-2,Waste Management,a.iv,0,partial,"none",
026,0011,HPCL2024,phase6,GRI 201: Economic Performance 2016,201-4,"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Economic Impacts)",a.iii,0,pass,"1,2",
027,0011,Mubadala2023,phase5,GRI 3,3-3,Leading Employment Practices,e.iii,0,partial,"1,2",
028,0011,Mubadala2024,phase5,GRI 3,3-3,Innovation and Digital Transformation,e.iv,0,no_evidence,"2,3",
029,0011,Bapco2024,phase6,GRI 306: Waste 2020,306-2,Waste,c,0,pass,"3,4",
030,0100,OQ2023,phase5,GRI 3,3-3,Employment Practices & Development,e.iii,0,partial,"4",
031,0100,OKQ82024,phase5,GRI 3,3-3,Diversity and equal opportunity,e.ii,0,partial,"3",
032,0100,Bapco2024,phase5,GRI 3,3-3,Asset Integrity and Critical Incident Management,a,0,partial,"4",
033,0100,Mubadala2023,phase6,GRI 403: Occupational Health and Safety 2018,403-1,"Health, Safety & Security of People",b,0,partial,"3",
034,0100,Mubadala2024,phase3,GRI 2,2-23,__none__,c,0,no_evidence,"2,3,4",
035,0100,OKQ82024,phase3,GRI 2,2-4,__none__,a.i,0,pass,"1",
036,0100,HPCL2024,phase5,GRI 3,3-3,"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Anti-competitive Behaviour)",e.i,0,pass,"1,4",
037,0100,OKQ82023,phase5,GRI 3,3-3,Diversity and equal opportunity,d.ii,0,partial,"2",
038,0100,OKQ82023,phase6,GRI 403: Occupational Health and Safety 2018,403-1,Occupational health and safety,a.ii,0,partial,"2",
