case_id,sample_universe,human_correct_status,human_rationale,confidence,review_seconds,reviewed_at_iso,rubric_version
D125,retest,no_evidence,,high,93.7,2026-05-12T17:01:25,v2
D077,retest,partial,,high,45.8,2026-05-12T17:02:11,v2
D024,retest,no_evidence,,high,36.7,2026-05-12T17:02:48,v2
D064,retest,partial,,high,87.4,2026-05-12T17:04:15,v2
D097,retest,partial,,medium,33.1,2026-05-12T17:04:49,v2
D053,retest,pass,,high,30.1,2026-05-12T17:05:19,v2
D004,retest,partial,,medium,36.3,2026-05-12T17:05:55,v2
D098,retest,pass,,high,30.1,2026-05-12T17:06:25,v2
D136,retest,partial,,high,34.0,2026-05-12T17:06:59,v2
D069,retest,pass,,high,30.0,2026-05-12T17:07:29,v2
D108,retest,pass,,high,54.4,2026-05-12T17:08:23,v2
D118,retest,partial,,high,37.2,2026-05-12T17:09:01,v2
D106,retest,partial,,high,46.2,2026-05-12T17:09:47,v2
D078,retest,partial,,high,34.2,2026-05-12T17:10:21,v2
D041,retest,pass,,high,35.5,2026-05-12T17:10:57,v2
D074,retest,partial,,high,36.9,2026-05-12T17:11:34,v2
D086,retest,pass,,high,36.8,2026-05-12T17:12:10,v2
D133,retest,pass,,high,35.6,2026-05-12T17:12:46,v2
D045,retest,partial,,high,33.9,2026-05-12T17:13:20,v2
D007,retest,partial,,high,54.7,2026-05-12T17:14:15,v2
