variant,rank,report_id,finish_time,duration_min
a0,0,Bangchak2024,2026-05-08T08:08:01,
a0,1,Bangchak2025,2026-05-08T08:58:28,50.44
a0,2,Bapco2023,2026-05-08T09:28:59,30.52
a0,3,Bapco2024,2026-05-08T10:01:54,32.92
a0,4,Bunduq2023,2026-05-08T10:33:22,31.46
a0,5,Desfa2023,2026-05-08T11:07:51,34.49
a0,6,Energean2023,2026-05-08T11:08:43,
a0,7,Energean2024,2026-05-08T11:51:53,43.16
a0,8,HPCL2023,2026-05-08T12:39:28,47.58
a0,9,HPCL2024,2026-05-08T13:20:06,40.64
a0,10,IslandOil2024,2026-05-08T13:42:51,22.76
a0,11,Mubadala2023,2026-05-08T14:26:26,43.58
a0,12,Mubadala2024,2026-05-08T15:06:47,40.34
a0,13,OKQ82023,2026-05-08T15:44:59,38.2
a0,14,OKQ82024,2026-05-08T16:22:29,37.51
a0,15,OQ2023,2026-05-08T17:02:09,39.67
a1,0,Bangchak2024,2026-05-07T09:45:07,
a1,1,Bangchak2025,2026-05-07T10:29:51,44.74
a1,2,Bapco2023,2026-05-07T11:01:05,31.23
a1,3,Bapco2024,2026-05-07T11:33:38,32.54
a1,4,Bunduq2023,2026-05-07T12:04:49,31.18
a1,5,Desfa2023,2026-05-07T12:38:50,34.02
a1,6,Energean2023,2026-05-07T12:39:40,
a1,7,Energean2024,2026-05-07T13:22:49,43.16
a1,8,HPCL2023,2026-05-07T14:10:34,47.75
a1,9,HPCL2024,2026-05-07T14:50:42,40.14
a1,10,IslandOil2024,2026-05-07T15:14:37,23.91
a1,11,Mubadala2023,2026-05-07T15:57:11,42.58
a1,12,Mubadala2024,2026-05-07T16:37:07,39.92
a1,13,OKQ82023,2026-05-07T17:15:15,38.14
a1,14,OKQ82024,2026-05-07T17:52:05,36.83
a1,15,OQ2023,2026-05-07T18:30:27,38.36
a2,0,Bangchak2024,2026-05-07T21:01:58,
a2,1,Bangchak2025,2026-05-07T21:48:37,46.65
a2,2,Bapco2023,2026-05-07T22:20:35,31.97
a2,3,Bapco2024,2026-05-07T22:54:16,33.68
a2,4,Bunduq2023,2026-05-07T23:27:40,33.39
a2,5,Desfa2023,2026-05-08T00:07:10,39.5
a2,6,Energean2023,2026-05-08T00:07:58,
a2,7,Energean2024,2026-05-08T00:53:30,45.53
a2,8,HPCL2023,2026-05-08T01:44:51,51.35
a2,9,HPCL2024,2026-05-08T02:27:45,42.89
a2,10,IslandOil2024,2026-05-08T02:52:03,24.31
a2,11,Mubadala2023,2026-05-08T03:35:45,43.7
a2,12,Mubadala2024,2026-05-08T04:21:02,45.27
a2,13,OKQ82023,2026-05-08T05:03:30,42.48
a2,14,OKQ82024,2026-05-08T05:46:56,43.43
a2,15,OQ2023,2026-05-08T06:30:34,43.63
v_new,0,Energean2023,2026-05-06T17:17:25,
v_new,1,Desfa2023,2026-05-06T20:15:15,
v_new,2,Bangchak2024,2026-05-06T21:24:01,68.76
v_new,3,Bangchak2025,2026-05-06T22:19:46,55.75
v_new,4,Bapco2023,2026-05-06T22:51:02,31.27
v_new,5,Bapco2024,2026-05-06T23:23:05,32.04
v_new,6,Bunduq2023,2026-05-06T23:53:41,30.61
v_new,7,Energean2024,2026-05-07T00:35:37,41.93
v_new,8,HPCL2023,2026-05-07T01:26:20,50.71
v_new,9,HPCL2024,2026-05-07T02:09:01,42.68
v_new,10,IslandOil2024,2026-05-07T02:33:59,24.98
v_new,11,Mubadala2023,2026-05-07T03:18:24,44.41
v_new,12,Mubadala2024,2026-05-07T04:03:21,44.96
v_new,13,OKQ82023,2026-05-07T04:46:46,43.4
v_new,14,OKQ82024,2026-05-07T05:29:22,42.61
v_new,15,OQ2023,2026-05-07T06:12:33,43.18
