unit_id,standard_id,standard_name,standard_type,disclosure_id,disclosure_name,requirement_id,requirement_text,requirement_type,is_omittable,year,hierarchy_level,parent_requirement
GRI101-2024-D101-1-Ra,GRI 101,Biodiversity,topic,101-1,Policies to halt and reverse,a,"describe its policies or commitments to halt and reverse biodiversity loss, and how these are informed by the 2050 Goals and 2030 Targets in the Kunming-Montreal Global Biodiversity Framework;",shall,True,2024,1,
GRI101-2024-D101-1-Rb,GRI 101,Biodiversity,topic,101-1,Policies to halt and reverse,b,report the extent to which these policies or commitments apply to the organization’s activities and to its business relationships;,shall,True,2024,1,
GRI101-2024-D101-1-Rc,GRI 101,Biodiversity,topic,101-1,Policies to halt and reverse,c,"report the goals and targets to halt and reverse biodiversity loss, whether they are informed by scientific consensus, the base year, and the indicators used to evaluate progress. The Convention on Biological Diversity adopted the Kunming-Montreal Global Biodiversity",shall,True,2024,1,
GRI101-2024-D101-2-Ra-i,GRI 101,Biodiversity,topic,101-2,Management of biodiversity impacts,a.i,report how it applies the mitigation hierarchy by describing: actions taken to avoid negative impacts on biodiversity;,shall,True,2024,2,a
GRI101-2024-D101-2-Ra-ii,GRI 101,Biodiversity,topic,101-2,Management of biodiversity impacts,a.ii,report how it applies the mitigation hierarchy by describing: actions taken to minimize negative impacts on biodiversity that were not avoided;,shall,True,2024,2,a
GRI101-2024-D101-2-Ra-iii,GRI 101,Biodiversity,topic,101-2,Management of biodiversity impacts,a.iii,"report how it applies the mitigation hierarchy by describing: actions taken to restore and rehabilitate affected ecosystems, including the goals of the restoration and rehabilitation, and how stakeholders are engaged throughout the restoration and rehabilitation actions;",shall,True,2024,2,a
GRI101-2024-D101-2-Ra-iv,GRI 101,Biodiversity,topic,101-2,Management of biodiversity impacts,a.iv,report how it applies the mitigation hierarchy by describing: actions taken to offset residual negative impacts on biodiversity;,shall,True,2024,2,a
GRI101-2024-D101-2-Ra-v,GRI 101,Biodiversity,topic,101-2,Management of biodiversity impacts,a.v,report how it applies the mitigation hierarchy by describing: transformative actions taken and additional conservation actions taken;,shall,True,2024,2,a
GRI101-2024-D101-2-Rb-i,GRI 101,Biodiversity,topic,101-2,Management of biodiversity impacts,b.i,"with reference to 101-2-a-iii, report for each site with the most significant impacts on biodiversity: the size in hectares of the area under restoration or rehabilitation;",shall,True,2024,2,b
GRI101-2024-D101-2-Rb-ii,GRI 101,Biodiversity,topic,101-2,Management of biodiversity impacts,b.ii,"with reference to 101-2-a-iii, report for each site with the most significant impacts on biodiversity: the size in hectares of the area restored or rehabilitated;",shall,True,2024,2,b
