Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organizational details,12,,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organization’s sustainability reporting,193,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",192,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,192,,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,207-209,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships",AR 25,,,,
,GRI 2: General Disclosures 2021,2-7 Employees,179,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,187,,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,AR 174,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,AR 211,,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,AR 175,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,16,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,16,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,16,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,AR 163,,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,20-29,,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,AR 212,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,AR 215,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,AR 203,,,,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,AR 218,,,,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,AR 203-204,"a,b,c",Confidentiality constraints,CEO compensation is confidential.,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,6-7,,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,17,,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,17,,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,32-35,,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,20-29,,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,155,,,,
,GRI 2: General Disclosures 2021,2-28 Membership associations,12,,,,
,GRI 2: General Disclosures 2021,2-29 Approach to stakeholder engagement,20-29,,,,
,GRI 2: General Disclosures 2021,2-30 Collective bargaining agreements,149,,,,
,GRI 3: Material Topics 2021,3-1 Process to determine material topics,30-31,,,,
,GRI 3: Material Topics 2021,3-2 List of material topics,30-31,,,,
Economic impacts,GRI 3: Material Topics 2021,3-3 Management of material topics,123-135,,,,11.14.1
Economic impacts,GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,154,,,,11.14.2
Economic impacts,GRI 202: Market Presence 2016,202-2 Proportion of senior management hired from the local community,185,,,,11.14.3
