Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organizational details,"pg8, pg10",,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organization’s sustainability reporting,pg8,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",pg8,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,pg8,,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,"pg8, pg86",,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships",pg12,,,,
,GRI 2: General Disclosures 2021,2-7 Employees,pg47,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,pg50,,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,pg64,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,pg64,,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,pg64,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,pg64,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,pg64,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,pg64,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,pg64,,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,pg64,,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,pg64,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,pg64,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,,,Confidentiality constraints,Bapco Energies is not disclosing this data as they consider this sensitive to public reporting.,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,,,Confidentiality constraints,Bapco Energies is not disclosing this data as they consider this sensitive to public reporting.,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,,,Confidentiality constraints,Bapco Energies is not disclosing this data as they consider this sensitive to public reporting.,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,pg18,,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,pg22,,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,"pg64, pg30",,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,"pg22, pg30",,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,pg64,,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,pg64,,,,
