Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organizational details,5-7,,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organization's sustainability reporting,3,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",3,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,3,,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,3,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships",5-7,,,,
,GRI 2: General Disclosures 2021,2-7 Employees,44,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,44,,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,8-11,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,,All,Confidentiality constraints,The details of Bunduq's highest governance body nomination and selection is restricted. It is strictly confined to our internal stakeholders.,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,9,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,9,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,10-11,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,,All,Confidentiality constraints,The details of Bunduq's highest governance body role in sustainability reporting is restricted. It is strictly confined to our internal stakeholders.,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,,All,Confidentiality constraints,The details of Conflicts of interest is restricted. It is strictly confined to our internal stakeholders.,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,50,,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,,All,Confidentiality constraints,The details of Collective knowledge of the highest governance body is restricted. It is strictly confined to our internal stakeholders.,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,,All,Confidentiality constraints,The details of Evaluation of the performance of the highest governance body is restricted. It is strictly confined to our internal stakeholders.,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,,All,Confidentiality constraints,The details of Remuneration policies is restricted. It is strictly confined to our internal stakeholders.,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,,All,Confidentiality constraints,The details of Process to determine remuneration is restricted. It is strictly confined to our internal stakeholders.,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,,All,Confidentiality constraints,The details of Annual total compensation is restricted. It is strictly confined to our internal stakeholders.,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,4,,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,"12, 36",,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,"12, 36",,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,,All,Confidentiality constraints,The details of Processes to remediate negative impacts is restricted. It is strictly confined to our internal stakeholders.,
