Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organizational details,2. About DESFA; 2.1 Corporate Profile; p. 15,,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organization’s sustainability reporting,1. Introduction; 1.3 About this report; p. 12,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",1. Introduction; 1.3 About this report; p. 12,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,"7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 118,119, 120,121, 122,123,124",,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,1. Introduction; 1.3 About this report; p. 12,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships","2. About DESFA; 2.2 Business Model and Value Chain; p. 20, 23",,,,
,GRI 2: General Disclosures 2021,2-7 Employees,5. Society; 5.1 Employment practices and Labor Conditions; p. 93; 7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 121,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,5. Society; 5.1 Employment practices and Labor Conditions; p. 93; 7. Performance Data and Standards; 7.1 Key ESG Performance Indicators (KPIs); p. 121,,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,"6. Governance and Ethics; 6.1 Corporate Governance Structure and Oversight; p. 104, 105-106",,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,"6. Governance and Ethics; 6.1 Corporate Governance Structure and Oversight; p. 104,106",2-10b,Not applicable,The Members of the Board are appointed as per the provisions of the Articles of Association on the basis of the current allocation of voting rights among the Shareholders.,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,6. Governance and Ethics; 6.1 Corporate Governance Structure and Oversight; p. 104,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,3. Sustainability Management and Stakeholder Engagement; 3.2 Sustainability Oversight; p. 45-46,,,,
