Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organisational details,About Energean | 6,,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organisation’s sustainability reporting,Message from the CSR department; Refer also to Energean’s publicly available Annual Report (pp. 250-251) | 84,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",Message from the CSR department | 84,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,"Energean in numbers; Message from the CSR department | 74-83, 84",,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,External Assurance Statement | 97-98,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships",About Energean | 6,,,,
,GRI 2: General Disclosures 2021,2-7 Employees,Energean in numbers | 78,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,"Focusing on employment practices / Energean in numbers | 49,82",,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,Our Strong Foundations; Refer also to Energean’s publicly available 2023 Annual Report (pp. 100-104) | 16-17,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,"Our Strong Foundations; Refer also to Energean’s publicly available 2023 Annual Report (pp. 109, 128-135) | 17",,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,Our Strong Foundations | 16,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,Our Strong Foundations; Refer also to Energean’s publicly available Annual Report (pp. 112-116) | 17-18,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,Our Strong Foundations | 18-19,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,Our Strong Foundations | 18,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,Safeguarding business ethics and transparent relationships; Refer also to Energean’s publicly available Terms of Reference of the Nomination and Governance Committee (p.5) | 70,,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,"Our Strong Foundations / Safeguarding business ethics and transparent relationships | 18-20,70",,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,Our Strong Foundations | 17,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,Our Strong Foundations | 17,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,Our Strong Foundations | 17,,,,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,Our Strong Foundations | 17,,,,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,Our Strong Foundations | 17,,,,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development Strategy,Chair and Chief Executive Joint Address | 3,,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,Our Strong Foundations; Refer also to Energean’s publicly available Code of Ethics | 19-20,,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,Our Strong Foundations; Refer also to Energean’s publicly available Code of Ethics | 19-20,,,,
