Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organisational details,"4, 14",,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organisation’s sustainability reporting,4,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",4,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,4,,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,5,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships","14, 20, 21, 22",,,,
,GRI 2: General Disclosures 2021,2-7 Employees,105,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,105,,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,"39, 40",,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,39,,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,"39, 42",,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,"39, 40",,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,"40, 42, 43",,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,40,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,42,,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,"45, 46, 47",,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,39,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,39,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,41,,,,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,41,,,,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,41,,,,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,"6, 7",,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,"36, 37",,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,"29, 36, 37",,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,"45, 46",,,,
