Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organizational details,"About Island Oil Holdings Ltd; p. 12,16",,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organization's sustainability reporting,About the Report; p. 10,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",About the Report; p. 10,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,"About the Report; p. 10, 43, 44, 45, 47, 68, 126, 132",,,,
,GRI 2: General Disclosures 2021,2-5 External Assurance,About the Report; p. 10,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships","About Island Oil Holdings Ltd; Our Services - Island Oil Holdings Ltd (island-oil.com); https://www.papadaki.net/our-services/; https://www.navtech-supplies.com/services/; https://www.petronav.com.cy/services/technical-management/; p. 12, 16, 21, 22",,,,
,GRI 2: General Disclosures 2021,2-7 Employees,"Caring for our people; Appendix I - GRI Tables: GRI 2.7 Employees; p. 68,130",,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,Caring for our people; p. 68,,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,"Acting Responsibly; p. 107, 108, 110, 118",,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,Acting Responsibly; p. 110,,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,Acting Responsibly; p. 114,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,Acting Responsibly; p. 112,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,Acting Responsibly; p. 112,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,Acting Responsibly; p. 118,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,"Acting Responsibly; p. 108, 124",,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,Acting Responsibly; p. 124,,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,Acting Responsibly; p. 116,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,Acting Responsibly; p. 117,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,,Yes,Information unavailable/incomplete,"The data are not available at this time, as the Group is in the process of implementing its remuneration policy, which is planned to be finalized and operational in the near future.",
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,"Acting Responsibly; p. 118, 126",GRI 2.20 (b) is omitted,Information unavailable/incomplete,"The data are not available at this time, as the Group is in the process of implementing its remuneration policy, which is planned to be finalized and operational in the near future.",
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,Acting Responsibly; p. 126,,,,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,CEO Message; p. 6,,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,"Acting Responsibly; p. 67, 122",,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,Acting Responsibly; p. 122,,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,"Caring for our people; Acting Responsibly; p. 90, 124",,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,Acting Responsibly; p. 124,,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,Acting Responsibly; p. 122,,,,
,GRI 2: General Disclosures 2021,2-28 Membership associations,About Island Oil Holdings Ltd; p. 24,,,,
,GRI 2: General Disclosures 2021,2-29 Approach to stakeholder engagement,Sustainability at Island Oil; p. 34,,,,
,GRI 2: General Disclosures 2021,2-30 Collective bargaining agreements,Caring for our people; p. 70,,,,
,GRI 3: Material Topics 2021,3-1 Process to determine material topics,Sustainability at Island Oil; p. 30,,,,
,GRI 3: Material Topics 2021,3-2 List of material topics,Sustainability at Island Oil; p. 30,,,,
Economic Performance,GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,,Yes,Confidential constraints,"Omitted due to confidentiality obligations. The information involves commercially sensitive data, including proprietary logistics and client-specific terms, where disclosure could harm the Group's competitive position and breach non-disclosure agreements.","11.14.2, 11.21.2"
Economic Performance,GRI 201: Economic Performance 2016,201-2 Financial implications and other risks and opportunities due to climate change,,Yes,Confidential constraints,"Omitted due to confidentiality obligations. The information involves commercially sensitive data, including proprietary logistics and client-specific terms, where disclosure could harm the Group's competitive position and breach non-disclosure agreements.",11.2.2
Economic Performance,GRI 201: Economic Performance 2016,201-3 Defined benefit plan obligations and other retirement plans,,Yes,Confidential constraints,"Omitted due to confidentiality obligations. The information involves commercially sensitive data, including proprietary logistics and client-specific terms, where disclosure could harm the Group's competitive position and breach non-disclosure agreements.",
Economic Performance,GRI 201: Economic Performance 2016,201-4 Financial Assistance received from government,,Yes,Confidential constraints,"Omitted due to confidentiality obligations. The information involves commercially sensitive data, including proprietary logistics and client-specific terms, where disclosure could harm the Group's competitive position and breach non-disclosure agreements.",11.21.3
Market Presence,GRI 202: Market Presence,202-1 Ratios of standard entry level wage by gender compared to local minimum wage,,Yes,Confidential constraints,"Omitted due to confidentiality obligations. The information involves commercially sensitive data, including proprietary logistics and client-specific terms, where disclosure could harm the Group's competitive position and breach non-disclosure agreements.",
Market Presence,GRI 202: Market Presence,202-2 Proportion of senior management hired from the local community,Caring for our people; p. 74,,,,11.11.2
Acting Responsibly,GRI 3: Material Topics 2021,3-3 Management of material topics,Acting Responsibly; p. 106,,,,11.20.1
Acting Responsibly,GRI 205: Anti-corruption,205-1 Operations assessed for risks related to corruption,,Yes,Confidential constraints,"Omitted due to confidentiality obligations. The information involves commercially sensitive data, including proprietary logistics and client-specific terms, where disclosure could harm the Group's competitive position and breach non-disclosure agreements.",11.20.2
Acting Responsibly,GRI 205: Anti-corruption,205-2 Communication and training about anti-corruption policies and procedures,Acting Responsibly; p. 123,"GRI 205.2 (d,e) are omitted",Confidential constraints,"Omitted due to confidentiality obligations. The information involves commercially sensitive data, including proprietary logistics and client-specific terms, where disclosure could harm the Group's competitive position and breach non-disclosure agreements.",11.20.3
Acting Responsibly,GRI 205: Anti-corruption,205-3 Confirmed incidents of corruption and actions taken,Acting Responsibly; p. 123,,,,11.20.4
Acting Responsibly,GRI 206: Anti-competitive Behavior 2016,"206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",Acting Responsibly; p. 123,,,,11.19.2
Responding to Climate Change: Adaptation and Mitigation,GRI 3: Material Topics 2021,3-3 Management of material topics,Responding to Climate Change: Adaptation and Mitigation; p. 38,,,,11.1.1
Responding to Climate Change: Adaptation and Mitigation,GRI 302: Energy 2016,302-1 Energy consumption within the organization,Responding to Climate Change: Adaptation and Mitigation; p. 47,,,,11.1.2
Responding to Climate Change: Adaptation and Mitigation,GRI 302: Energy 2016,302-2 Energy consumption outside the organization,,Yes,Information unavailable/incomplete,"The data are not available, as the Group does not currently perform any formal calculations in this area.",11.1.3
Responding to Climate Change: Adaptation and Mitigation,GRI 302: Energy 2016,302-3 Energy intensity,Responding to Climate Change: Adaptation and Mitigation; p. 48,,,,11.1.4
Responding to Climate Change: Adaptation and Mitigation,GRI 302: Energy 2016,302-4 Reduction of energy consumption,Responding to Climate Change: Adaptation and Mitigation; p. 48,,,,
Responding to Climate Change: Adaptation and Mitigation,GRI 302: Energy 2016,302-5 Reductions in energy requirements of products and services,,Yes,Information unavailable/incomplete,"The data are not available, as the Group does not currently perform any formal calculations in this area.",
Preserving Water Quality and Marine Ecosystems,GRI 3: Material Topics 2021,3-3 Management of material topics,Preserving Water Quality and Marine Ecosystems; p. 58,,,,11.6.1
Preserving Water Quality and Marine Ecosystems,GRI 303: Water and Effluents 2018,303-1 Interactions with water as a shared resource,Preserving Water Quality and Marine Ecosystems; p. 60,,,,11.6.2
Preserving Water Quality and Marine Ecosystems,GRI 303: Water and Effluents 2018,303-2 Management of water discharge-related impacts,Preserving Water Quality and Marine Ecosystems; p. 60,,,,11.6.3
Preserving Water Quality and Marine Ecosystems,GRI 303: Water and Effluents 2018,303-3 Water withdrawal,,Yes,Information unavailable/incomplete,"The data are not available, as the Group does not currently perform any formal calculations in this area.",11.6.4
Preserving Water Quality and Marine Ecosystems,GRI 303: Water and Effluents 2018,303-4 Water discharge,,Yes,Information unavailable/incomplete,"The data are not available, as the Group does not currently perform any formal calculations in this area.",11.6.5
Preserving Water Quality and Marine Ecosystems,GRI 303: Water and Effluents 2018,303-5 Water consumption,,Yes,Information unavailable/incomplete,"The data are not available, as the Group does not currently perform any formal calculations in this area.",11.6.6
Protecting Biodiversity and Preserving Ecosystem,GRI 304: Biodiversity 2016,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,Yes,Not applicable,"This disclosure is not applicable, as the subject matter does not align with the nature of the Group's operations and is therefore not relevant to its business activities.",11.4.2
Protecting Biodiversity and Preserving Ecosystem,GRI 304: Biodiversity 2016,"304-2 Significant impacts of activities, products and services on biodiversity",Protecting Biodiversity and Preserving Ecosystem; p. 63,GRI 304.2 (b) is omitted,Not applicable,"This disclosure is not applicable, as the subject matter does not align with the nature of the Group's operations and is therefore not relevant to its business activities.",11.4.3
Protecting Biodiversity and Preserving Ecosystem,GRI 304: Biodiversity 2016,304-3 Habitats protected or restored,,Yes,Not applicable,"This disclosure is not applicable, as the subject matter does not align with the nature of the Group's operations and is therefore not relevant to its business activities.",11.4.4
Protecting Biodiversity and Preserving Ecosystem,GRI 304: Biodiversity 2016,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,,Yes,Not applicable,"This disclosure is not applicable, as the subject matter does not align with the nature of the Group's operations and is therefore not relevant to its business activities.",11.4.5
Responding to Climate Change: Adaptation and Mitigation,GRI 3: Material Topics 2021,3-3 Management of material topics,Responding to Climate Change: Adaptation and Mitigation; p. 38,,,,"11.1.1, 11.2.1, 11.3.1"
Responding to Climate Change: Adaptation and Mitigation,GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,"Responding to Climate Change: Adaptation and Mitigation; p. 39, 43",,,,11.1.5
Responding to Climate Change: Adaptation and Mitigation,GRI 305: Emissions 2016,305-2 Energy indirect (Scope 2) GHG emissions,"Responding to Climate Change: Adaptation and Mitigation; p. 39, 44",,,,11.1.6
Responding to Climate Change: Adaptation and Mitigation,GRI 305: Emissions 2016,305-3 Other indirect (Scope 3) GHG emissions,Responding to Climate Change: Adaptation and Mitigation; p. 45,,,,11.1.7
Responding to Climate Change: Adaptation and Mitigation,GRI 305: Emissions 2016,305-4 GHG emissions intensity,Responding to Climate Change: Adaptation and Mitigation; p. 45,,,,11.1.8
