Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organizational details,Page 7: About Mubadala Energy,,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organization’s sustainability reporting,Page 3: About this Report,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",Page 3: About this Report,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,No data was restated,,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,Page 3: About this Report,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships",Page 7: About Mubadala Energy; Page 55: Responsible Procurement; Page 71: Mapping our key stakeholders,,,,
,GRI 2: General Disclosures 2021,2-7 Employees,Page 34: Our Employees,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,,,Information unavailable/incomplete,Values are only reported internally,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,Page 46: Our Governance Approach,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,Page 46: Our Governance Approach,,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,Page 46: Our Governance Approach,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,Page 46: Our Governance Approach,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,Page 46: Our Governance Approach,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,Page 46: Our Governance Approach,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,Page 50: Ethics & Compliance,,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,Page 50: Ethics & Compliance,,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,Page 46: Our Governance Approach,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,Page 46: Our Governance Approach,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,,,Confidentiality constraints,Confidentiality constraints: Remuneration related details are confidential and are specific to each operation site,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,,,Confidentiality constraints,Confidentiality constraints: Remuneration related details are confidential and are specific to each operation site,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,,,Confidentiality constraints,Confidentiality constraints: Remuneration related details are confidential and are specific to each operation site,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,Page 10-12: Our Strategy,,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,"Page 10-12: Our Strategy; Page 18: Environmental Policies & Standards; Page 30: Health, Safety & Security of People",,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,"Page 10-12: Our Strategy; Page 18: Environmental Policies & Standards; Page 30: Health, Safety & Security of People",,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,Page 37: Upholding Human Rights,,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,Page 37: Upholding Human Rights,,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,Page 50-52: Ethics & Compliance,,,,
,GRI 2: General Disclosures 2021,2-28 Membership associations,,,Information unavailable/incomplete,Membership associations are not currently tracked. The same information will be disclosed in subsequent years,
,GRI 2: General Disclosures 2021,2-29 Approach to stakeholder engagement,Page 51: Engaging Stakeholders; Page 71: Mapping our Key Stakeholders,,,,
,GRI 2: General Disclosures 2021,2-30 Collective bargaining agreements,Not applicable,,Legal prohibitions,Compliance with all labor regulations in each country where we operate. Collective bargaining is illegal in the UAE.,
,GRI 3: Material Topics 2021,3-1 Process to determine material topics,Page 14: Material ESG Areas of Focus,,,,
,GRI 3: Material Topics 2021,3-2 List of material topics,Page 14: Material ESG Areas of Focus; Page 15: Materiality Assessment Results,,,,
GHG & Other Air Emissions,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 19-21: GHG Emissions,,,,"11.1.1, 11.3.1"
GHG & Other Air Emissions,GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,Page 19-21: GHG Emissions,,,,11.1.5
GHG & Other Air Emissions,GRI 305: Emissions 2016,305-2 Energy indirect (Scope 2) GHG emissions,Page 19-21: GHG Emissions,,,,11.1.6
GHG & Other Air Emissions,GRI 305: Emissions 2016,305-3 Other indirect (Scope 3) GHG emissions,Page 19-21: GHG Emissions,,,,11.1.7
GHG & Other Air Emissions,GRI 305: Emissions 2016,305-4 GHG emissions intensity,Page 19-21: GHG Emissions,,,,11.1.8
GHG & Other Air Emissions,GRI 305: Emissions 2016,305-6 Emissions of ozone-depleting substances (ODS),,,Information unavailable/incomplete,We are exploring the establishment of a data collection mechanism and may plan/track this in the future.,
GHG & Other Air Emissions,GRI 305: Emissions 2016,305-5 Reduction of GHG emissions,Page 19-21: GHG Emissions,,,,11.2.3
GHG & Other Air Emissions,GRI 305: Emissions 2016,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",Page 19-21: GHG Emissions,,,,11.3.2
Spills & Waste Management,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 24: Waste & Spills Management,,,,11.5.1
Spills & Waste Management,GRI 306: Waste 2020,306-1 Waste generation and significant waste-related impacts,Page 24: Waste & Spills Management,,,,11.5.2
Spills & Waste Management,GRI 306: Waste 2020,306-2 Management of significant waste-related impacts,Page 24: Waste & Spills Management,,,,11.5.3
Spills & Waste Management,GRI 306: Waste 2020,306-3 Waste generated,Page 24: Waste & Spills Management; Page 83: Performance Data (2021-2023),,,,11.5.4
Spills & Waste Management,GRI 306: Waste 2020,306-4 Waste diverted from disposal,Page 24: Waste & Spills Management; Page 83: Performance Data (2021-2023),,,,11.5.5
Spills & Waste Management,GRI 306: Waste 2020,306-5 Waste directed to disposal,Page 24: Waste & Spills Management; Page 83: Performance Data (2021-2023),,,,11.5.6
Spills & Waste Management,GRI 306: Effluents and Waste 2016,306-3 Significant spills,Page 24: Waste & Spills Management; Page 83: Performance Data (2021-2023),,,,11.8.2
Water Resource Management,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 23: Water Management,,,,11.6.1
Water Resource Management,GRI 303: Water and Effluents 2018,303-1 Interactions with water as a shared resource,Page 23: Water Management,,,,11.6.2
Water Resource Management,GRI 303: Water and Effluents 2018,303-2 Management of water discharge-related impacts,Page 23: Water Management,,,,11.6.3
Water Resource Management,GRI 303: Water and Effluents 2018,303-3 Water withdrawal,Page 23: Water Management,,,,11.6.4
Water Resource Management,GRI 303: Water and Effluents 2018,303-4 Water discharge,Page 23: Water Management; Page 83: Performance Data (2021-2023),,,,11.6.5
Water Resource Management,GRI 303: Water and Effluents 2018,303-5 Water consumption,Page 23: Water Management; Page 83: Performance Data (2021-2023),,,,11.6.6
Energy Consumption & Efficiency,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 22: Energy Consumption,,,,11.1.1
Energy Consumption & Efficiency,GRI 302: Energy 2016,302-1 Energy consumption within the organization,Page 22: Energy Consumption,,,,11.1.2
Energy Consumption & Efficiency,GRI 302: Energy 2016,302-2 Energy consumption outside of the organization,Page 22: Energy Consumption,,,,11.1.3
Energy Consumption & Efficiency,GRI 302: Energy 2016,302-3 Energy intensity,Page 22: Energy Consumption; Page 83: Performance Data (2021-2023),,,,11.1.4
Energy Consumption & Efficiency,GRI 302: Energy 2016,302-4 Reduction of energy consumption,Page 22: Energy Consumption,,,,
Energy Consumption & Efficiency,GRI 302: Energy 2016,302-5 Reductions in energy requirements of products and services,,,Information unavailable/incomplete,Values not currently measured,
Biodiversity & Ecosystem,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 22-28: Biodiversity & Conservation,,,,11.4.1
Biodiversity & Ecosystem,GRI 304: Biodiversity 2016,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",Page 22-28: Biodiversity & Conservation,,,,11.4.2
Biodiversity & Ecosystem,GRI 304: Biodiversity 2016,"304-2 Significant impacts of activities, products and services on biodiversity",Page 22-28: Biodiversity & Conservation,,,,11.4.3
Biodiversity & Ecosystem,GRI 304: Biodiversity 2016,304-3 Habitats protected or restored,Page 22-28: Biodiversity & Conservation,,,,11.4.4
Biodiversity & Ecosystem,GRI 304: Biodiversity 2016,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,Page 22-28: Biodiversity & Conservation,,,,11.4.5
