Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organizational details,59,,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organization’s sustainability reporting,59,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",59,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,"26, 48, 49, 51, 52, 54-57",,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,65,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships","3, 4, 10, 32-34",,,,
,GRI 2: General Disclosures 2021,2-7 Employees,"28-31, 52",,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,54-57,Workers who are not employees are not included in table “Employees 2023–2024”.,Information unavailable.,Workers who are non-employees are included (part of franchise business) in all relevant tables on pages 51-53.,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,41,OK-Q8 AB does not fully report on this disclosure.,Confidentiality constraints.,OK-Q8 AB is not a public company and does not report in accordance with the Swedish Code of Corporate Governance.,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,41,See above.,See above.,See above.,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,41,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,41,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,41,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,41,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,41,Information is not public.,Confidentiality constraints.,OK-Q8 AB is not a public company and does not report in accordance with related requirements in the Annual Accounts Act and the Swedish Code of Corporate Governance.,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,41,,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,41,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,41,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,,Information is not public.,Confidentiality constraints.,OK-Q8 AB is not a public company and does not report in accordance with related requirements in the Annual Accounts Act and the Swedish Code of Corporate Governance.,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,,See above.,See above.,See above.,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,,Complete information from the Group companies is missing.,Information unavailable.,OK-Q8 AB will prepare to be able to report in time for the implementation of CSRD/ESRS.,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,7,,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,"36, 41-43, 47",,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,"36, 41-47",,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,"43, 45-47",,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,42-43,,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,43-46,,,,
,GRI 2: General Disclosures 2021,2-28 Membership associations,58,,,,
,GRI 2: General Disclosures 2021,2-29 Approach to stakeholder engagement,"32-34, 36, 42-44",,,,
,GRI 2: General Disclosures 2021,2-30 Collective bargaining agreements,52,,,,
,GRI 3: Material Topics 2021,3-1 Process to determine material topics,36,,,,
,GRI 3: Material Topics 2021,3-2 List of material topics,36,,,,
Anti-corruption,GRI 3: Material Topics 2021,3-3 Management of material topics,"37, 42-44, 47",,,,
Anti-corruption,GRI 205: Anti-corruption 2016,205-1 Operations assessed for risks related to corruption,"37, 42",,,,11.20.2
Anti-corruption,GRI 205: Anti-corruption 2016,205-2 Communication and training about anti-corruption policies and procedures,42,,,,11.20.3
Anti-corruption,GRI 205: Anti-corruption 2016,205-3 Confirmed incidents of corruption and actions taken,"29, 42-43",,,,11.20.4
Anti-competitive behavior,GRI 3: Material Topics 2021,3-3 Management of material topics,"42-43, 47",,,,11.19.1
Anti-competitive behavior,GRI 206: Anti-competitive Behavior 2016,"206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",42-43,,,,11.19.2
Energy,GRI 3: Material Topics 2021,3-3 Management of material topics,"13-20, 37-38, 47",,,,11.1.1
Energy,GRI 302: Energy 2016,302-1 Energy consumption within the organization,48,,,,11.1.2
Energy,GRI 302: Energy 2016,302-2 Energy consumption outside of the organization,49-50,OK-Q8 AB does not report on energy consumption outside of the organization.,Information incomplete.,OK-Q8 AB will investigate how to obtain satisfying data on energy consumption outside of the organization going forward.,11.1.3
Energy,GRI 302: Energy 2016,302-3 Energy intensity,49,,,,11.1.4
Energy,GRI 302: Energy 2016,302-4 Reduction of energy consumption,48,,,,
Water and effluents,GRI 3: Material Topics 2021,3-3 Management of material topics,"25-27, 42-47",,,,11.6.1
Water and effluents,GRI 303: Water and Effluents 2018,303-1 Interactions with water as a shared resource,,OK-Q8 AB does not report on water consumption.,Data incomplete.,OK-Q8 AB will investigate how to obtain satisfying data on water consumption going forward.,11.6.2
Water and effluents,GRI 303: Water and Effluents 2018,303-2 Management of water discharge-related impacts,,OK-Q8 AB does not report on water discharge-related impact.,Data incomplete.,OK-Q8 AB will investigate how to obtain satisfying data on water discharge-related impacts going forward.,11.6.3
Water and effluents,GRI 303: Water and Effluents 2018,303-3 Water withdrawal,,OK-Q8 AB does not report on water withdrawal.,Data incomplete.,OK-Q8 AB will investigate how to obtain satisfying data on water withdrawal.,11.6.4
Water and effluents,GRI 303: Water and Effluents 2018,303-4 Water discharge,,OK-Q8 AB does not report on water discharge.,Data incomplete.,OK-Q8 AB will investigate how to obtain satisfying data on water discharge.,11.6.5
Water and effluents,GRI 303: Water and Effluents 2018,303-5 Water consumption,,OK-Q8 AB does not report on water consumption.,Data incomplete.,OK-Q8 AB will investigate how to obtain satisfying data on water consumption.,11.6.6
Biodiversity,GRI 3: Material Topics 2021,3-3 Management of material topics,"25-27, 37-38, 43-45, 47",,,,11.4.1
Biodiversity,GRI 304: Biodiversity 2016,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,OK-Q8 AB does not report on operational sites in protected or high biodiversity value areas.,Data incomplete.,OK-Q8 AB will investigate how to obtain satisfying data on biodiversity.,11.4.2
Biodiversity,GRI 304: Biodiversity 2016,"304-2 Significant impacts of activities, products and services on biodiversity","25-27, 37-38, 43-45, 47",,,,11.4.3
Biodiversity,GRI 304: Biodiversity 2016,304-3 Habitats protected or restored,45,,,,11.4.4
Biodiversity,GRI 304: Biodiversity 2016,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,,OK-Q8 AB does not report on IUCN Red List species and others affected by operations.,Data incomplete.,OK-Q8 AB will investigate how to obtain satisfying data on biodiversity.,11.4.5
Emissions,GRI 3: Material Topics 2021,3-3 Management of material topics,"18-20, 37-38, 47",,,,11.1.1
Emissions,GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,49-50,,,,11.1.5
Emissions,GRI 305: Emissions 2016,305-2 Energy indirect (Scope 2) GHG emissions,49-50,,,,11.1.6
Emissions,GRI 305: Emissions 2016,305-3 Other indirect (Scope 3) GHG emissions,49-50,,,,11.1.7
Emissions,GRI 305: Emissions 2016,305-4 GHG emissions intensity,50,,,,11.1.8
Emissions,GRI 305: Emissions 2016,305-5 Reduction of GHG emissions,49-50,,,,11.2.3
Emissions,GRI 305: Emissions 2016,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",50,,,,11.3.2
Waste,GRI 3: Material Topics 2021,3-3 Management of material topics,"21-24, 47",,,,11.5.1
Waste,GRI 306: Effluents and Waste 2016,306-3 Significant spills,51,,,,11.8.2
Waste,GRI 306: Waste 2020,306-1 Waste generation and significant waste-related impacts,21-24,,,,11.5.2
Waste,GRI 306: Waste 2020,306-2 Management of significant waste-related impacts,21-24,,,,11.5.3
Waste,GRI 306: Waste 2020,306-3 Waste generated,51,,,,11.5.4
Waste,GRI 306: Waste 2020,306-4 Waste diverted from disposal,51,,,,11.5.5
Waste,GRI 306: Waste 2020,306-5 Waste directed to disposal,51,,,,11.5.6
Supplier environmental assessment,GRI 3: Material Topics 2021,3-3 Management of material topics,"21-24, 42-47",,,,
Supplier environmental assessment,GRI 308: Supplier Environmental Assessment 2016,308-2 Negative environmental impacts in the supply chain and actions taken,42-47,,,,
Employment,GRI 3: Material Topics 2021,3-3 Management of material topics,"28-31, 42-47",,,,11.10.1
Employment,GRI 401: Employment 2016,401-1 New employee hires and employee turnover,52,,,,11.10.2
Employment,GRI 401: Employment 2016,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,"31, 46",,,,11.10.3
