Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organisational details,About OQ Page 12,,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organisation’s sustainability reporting,About the Report Page 5,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",About the Report Page 4 to 5,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,About the Report Page 4 to 5,,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,About the Report Page 4 to 5,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships",About OQ Page 13 and 15,,,,
,GRI 2: General Disclosures 2021,2-7 Employees,Building Our Employees Capacity Page 72 to 77,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,Building Our Employees Capacity Page 72 to 77,,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,About OQ Page 19 to 20,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,About OQ Page 19 to 20,,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,About OQ Page 19 to 20,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,About OQ Page 21,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,About OQ Page 21,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,About OQ Page 21,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,Guidance to Ethical Practices Page 31,,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,Guidance to Ethical Practices Page 31,,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,About OQ Page 21,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,About OQ Page 21,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,About OQ Page 19 to 20,,,,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,About OQ Page 19 to 20,,,,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,,,Confidentiality constraints,The information classified as confidential,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,About OQ Page 28,,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,Guidance to Ethical Practice Page 31,,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,Sustainability at OQ Page 32,,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,Guidance to Ethical Practice Page 31 to 32,,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,Guidance to Ethical Practice Page 31 to 32,,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,Reinforcing our business practices Page 29 to 30,,,,
,GRI 2: General Disclosures 2021,2-28 Membership associations,About OQ Page 17,,,,
,GRI 2: General Disclosures 2021,2-29 Approach to stakeholder engagement,Sustainability at OQ Page 26 to 27,,,,
,GRI 2: General Disclosures 2021,2-30 Collective bargaining agreements,Not Applicable,,Not applicable in Oman,This agreement is not applicable in the country where we operate and disclose,
,GRI 3: Material Topics 2021,3-1 Process to determine material topics,Sustainability at OQ Page 26 to 27,,,,
,GRI 3: Material Topics 2021,3-2 List of material topics,Sustainability at OQ Page 26 to 27,,,,
Economic Impact,GRI 3: Material Topics 2021,3-3 Management of material topics,Performance and Highlights Page 10 to 11,,,,
Economic Impact,GRI 201: Economic Performance 2016,Disclosure 201-1 Direct economic value generated and distributed,Performance and Highlights Page 10 to 11,,,,
Economic Impact,GRI 201: Economic Performance 2016,Disclosure 201-2 Financial implications and other risks and opportunities due to climate change,Performance and Highlights Page 10 to 11,,,,
