Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General contents 2021,2-1 Organizational details,"6, 19",,,,
,GRI 2: General contents 2021,2-2 Entities included in the organization’s sustainability reporting,19,,,,
,GRI 2: General contents 2021,"2-3 Reporting period, frequency, and contact point",19,c,Unavailable or incomplete information,,
,GRI 2: General contents 2021,2-4 Restatement of information,"In this report, the section previously titled “Air quality” has been revised as “Atmospheric emissions”, as it more accurately reflects our management of pollutants released into the atmosphere.",a,Unavailable or incomplete information,,
,GRI 2: General contents 2021,2-5 External assurance,This report has not been subjected to an external assurance process.,,,,
,GRI 2: General contents 2021,"2-6 Activities, value chain and other business relationships","8, 72",,,,
,GRI 2: General contents 2021,2-7 Employees,21,b,Not applicable,We do not have employees under work schemes with non-guaranteed hours or hired part-time,
,GRI 2: General contents 2021,2-8 Workers who are not employees,21,,,,
,GRI 2: General contents 2021,2-9 Governance structure and composition,10,,,,
,GRI 2: General contents 2021,2-10 Nomination and selection of the highest governance body,10,,,,
,GRI 2: General contents 2021,2-11 Chair of the highest governance body,10,,,,
,GRI 2: General contents 2021,2-12 Role of the highest governance body in overseeing the management of impacts,10,,,,
,GRI 2: General contents 2021,2-13 Delegation of responsibility for managing impacts,10,,,,
,GRI 2: General contents 2021,2-14 Role of the highest governance body in sustainability reporting,19,,,,
,GRI 2: General contents 2021,2-15 Conflicts of interest,"Our Conflicts of Interest Policy aims to prevent personal interests from interfering with professional responsibilities by promoting ethical and transparent conduct at all levels of the organization. This policy applies both to our internal team and to related third parties, who should be aware of it and reaffirm it on a regular basis.",,,,
,GRI 2: General contents 2021,2-16 Communication of critical concerns,14,,,,
,GRI 2: General contents 2021,2-17 Collective knowledge of the highest governance body,,a,Unavailable or incomplete information,We have not yet implemented specific actions to strengthen our Board's collective knowledge on sustainability and governance-related issues.,
,GRI 2: General contents 2021,2-18 Evaluation of the performance of the highest governance body,11,,,,
,GRI 2: General contents 2021,2-19 Remuneration policies,11,,,,
,GRI 2: General contents 2021,2-20 Process to determine remuneration,29,,,,
,GRI 2: General contents 2021,2-21 Annual total compensation ratio,,"A, B and C",Confidentiality Restrictions,"This information is confidential to the Company, which is why it is not reported in this report.",
,GRI 2: General contents 2021,2-22 Statement on sustainable development strategy,2,,,,
,GRI 2: General contents 2021,2-23 Policy commitments,44,,,,
,GRI 2: General contents 2021,2-24 Embedding policy commitments,12,,,,
,GRI 2: General contents 2021,2-25 Processes to remediate negative impacts,43,,,,
,GRI 2: General contents 2021,2-26 Mechanisms for seeking advice and raising concerns,43,,,,
,GRI 2: General contents 2021,2-27 Compliance with laws and regulations,14,,,,
,GRI 2: General contents 2021,2-28 Membership associations,15,,,,
,GRI 2: General contents 2021,2-29 Approach to stakeholder engagement,17,,,,
,GRI 2: General contents 2021,2-30 Collective bargaining agreements,"We respect and guarantee the right of our employees to free association. However, during the reporting period, we did not have any collective bargaining agreements in force.",,,,
,GRI 3: Material Topics 2021,3-1 Process to determine material topics,16,,,,
,GRI 3: Material Topics 2021,3-2 List of material topics,16,,,,
,GRI 3: Material Topics 2021,3-3 Management of material topics,"21, 29, 37, 40, 43, 44, 51, 62, 68, 69",,,,
Climate action and emissions,GRI 3: Material Topics 2021,3-3 Management of material topics,62,,,,"11.1.1, 11.2.1, 11.3.1"
Climate action and emissions,GRI 201: Economic Performance 2016,201-2 Financial implications and other risks and opportunities due to climate change,62,a,,,11.2.2
Climate action and emissions,GRI 302: Energy 2016,302-1 Energy consumption within the organization,66,,,,11.1.2
Climate action and emissions,GRI 302: Energy 2016,302-2 Energy consumption outside of the organization,66,,,,11.1.3
Climate action and emissions,GRI 302: Energy 2016,302-3 Energy intensity,66,,,,11.1.4
Climate action and emissions,GRI 302: Energy 2016,302-4 Reduction of energy consumption,66,,,,
Climate action and emissions,GRI 302: Energy 2016,302-5 Reductions in energy requirements of products and services,,"A, B and C",Not applicable,"We do not market products or services designed to reduce energy consumption at the stage of use by third parties. As a company in the hydrocarbons sector, our activity is focused on production and not on the development of final consumer products.",
Climate action and emissions,GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,63,,,,11.1.5
Climate action and emissions,GRI 305: Emissions 2016,305-2 Energy indirect (Scope 2) GHG emissions,63,,,,11.1.6
Climate action and emissions,GRI 305: Emissions 2016,305-3 Other indirect (Scope 3) GHG emissions,63,,,,11.1.7
Climate action and emissions,GRI 305: Emissions 2016,305-4 GHG emissions intensity,63,,,,11.1.8
Climate action and emissions,GRI 305: Emissions 2016,305-5 Reduction of GHG emissions,63,,,,11.2.3
Climate action and emissions,GRI 305: Emissions 2016,305-6 Emissions of ozone-depleting substances (ODS),"We do not produce, import or export ozone-depleting substances.",,,,
Climate action and emissions,GRI 305: Emissions 2016,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",65,,,,11.3.2
Biodiversity and natural resources,GRI 3: Material Topics 2021,3-3 Management of material topics,51,,,,"11.4.1, 11.5.1, 11.6.1"
Biodiversity and natural resources,GRI 304: Biodiversity 2016,"304-1 Owned, leased or managed operational sites located within or adjacent to protected areas or areas of high biodiversity value outside protected areas",54,,,,11.4.2
Biodiversity and natural resources,GRI 304: Biodiversity 2016,"304-2 Significant impacts of activities, products and services on biodiversity",51,,,,11.4.3
Biodiversity and natural resources,GRI 304: Biodiversity 2016,304-3 Protected or restored habitats,56,,,,11.4.4
Biodiversity and natural resources,GRI 304: Biodiversity 2016,304-4 Species on the IUCN Red List and National Conservation Lists whose habitats are in areas affected by operations,54,,,,11.4.5
Biodiversity and natural resources,GRI 303: Water and Effluents 2018,303-1 Interaction with water as a shared resource,57,,,,11.6.2
Biodiversity and natural resources,GRI 303: Water and Effluents 2018,303-2 Management of water discharge-related impacts,57,,,,11.6.3
Biodiversity and natural resources,GRI 303: Water and Effluents 2018,303-3 Water withdrawal,58,,,,11.6.4
Biodiversity and natural resources,GRI 303: Water and Effluents 2018,303-4 Water discharge,58,,,,11.6.5
Biodiversity and natural resources,GRI 303: Water and Effluents 2018,303-5 Water consumption,58,,,,11.6.6
Biodiversity and natural resources,GRI 306: Effluents and Waste 2016,306-3 Significant spills,59,,,,11.8.2
Biodiversity and natural resources,GRI 306: Waste 2020,306-1 Waste generation and significant waste-related impacts,60,,,,11.5.2
Biodiversity and natural resources,GRI 306: Waste 2020,306-2 Management of significant waste-related impacts,60,,,,11.5.3
Biodiversity and natural resources,GRI 306: Waste 2020,306-3 Waste generated,60,,,,11.5.4
