Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organisational details,5-7. Refer also to PMRMB’s Annual report 2024 page 8-9.,,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organisation’s sustainability reporting,4,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",4,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,"68, 69, 73, 86, 102.",,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,4. Refer also to PMRMB’s Annual report 2024 page 153.,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships","5-7, 79.",,,,
,GRI 2: General Disclosures 2021,2-7 Employees,84-85.,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,,,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,Refer to PMRMB’s Annual report 2024 page 46.,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,Refer to PMRMB’s Annual report 2024 page 83-86.,,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,Refer to PMRMB’s Annual report 2024 page 46.,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,14-15. Refer also to PMRMB’s Annual report 2024 page 87-88.,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,14-15. Refer also to PMRMB’s Annual report 2024 page 87-88.,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,14-15. Refer also to PMRMB’s Annual report 2024 page 87-88.,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,"Refer to PMRMB’s Annual report 2024 page 55, 60, 61, 64, 73, 166.",,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,,,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,Refer to PMRMB’s Annual report 2024 page 70-72.,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,14. Refer also to PMRMB’s Annual report 2024 page 85-86.,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,"Refer to PMRMB’s Annual report 2024 page 69, 70, 91.",,,,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,Refer to PMRMB’s Annual report 2024 page 60.,,,,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,"Refer to PMRMB’s Annual report 2024 page 69, 70, 91.",,,,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,10,,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,Refer to PMRMB’s Annual report 2024 page 74-75. Refer also to the Corporate Governance section.,,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,Refer to PMRMB’s Annual report 2024 page 74-75. Refer also to the Corporate Governance section.,,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,"63, 83, 93, 96, 104.",,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,"49, 83, 100.",,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,"31, 50, 63.",,,,
,GRI 2: General Disclosures 2021,2-28 Membership associations,113,,,,
,GRI 2: General Disclosures 2021,2-29 Approach to stakeholder engagement,16-20.,,,,
,GRI 2: General Disclosures 2021,2-30 Collective bargaining agreements,93,,,,
,GRI 3: Material Topics 2021,3-1 Process to determine material topics,21-23.,,,,
,GRI 3: Material Topics 2021,3-2 List of material topics,23,,,,
Generating Economic Benefits,GRI 3: Material Topics 2021,3-3 Management of material topics,32-47,,,,"11.14.1, 11.15.1"
Generating Economic Benefits,GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,33-34,,,,11.14.2
Generating Economic Benefits,GRI 202: Market Presence 2016,202-2 Proportion of senior management hired from the local community,34,,,,"11.14.3, 11.11.2"
Generating Economic Benefits,GRI 203: Indirect Economic Impacts 2016,203-2 Significant indirect economic impacts,43-47,,,,11.14.5
Generating Economic Benefits,GRI 204: Procurement Practices 2016,204-1 Proportion of spending on local suppliers,33,,,,11.14.6
Generating Economic Benefits,GRI 413: Local Communities 2016,"413-1 Operations with local community engagement, impact assessments, and development programs",34-47,,,,11.15.2
Generating Economic Benefits,GRI 413: Local Communities 2016,413-2 Operations with significant actual and potential negative impacts on local communities,34-47,,,,11.15.3
Ethical Business Practices,GRI 3: Material Topics 2021,3-3 Management of material topics,48-51,,,,"11.19.1, 11.20.1"
Ethical Business Practices,GRI 205: Anti-corruption 2016,205-1 Operations assessed for risks related to corruption,"49, 51",,,,11.20.2
Ethical Business Practices,GRI 205: Anti-corruption 2016,205-2 Communication and training about anti-corruption policies and procedures,50-51,,,,11.20.3
Ethical Business Practices,GRI 205: Anti-corruption 2016,205-3 Confirmed incidents of corruption and actions taken,"31, 50, 63",,,,11.20.4
Ethical Business Practices,GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,"49, 81",,,,11.10.8
Ethical Business Practices,GRI 414: Supplier Social Assessment 2016,414-2 Negative social impacts in the supply chain and actions taken,49,,,,11.10.9
Ethical Business Practices,GRI 206: Anti-competitive Behavior 2016,"206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",117,,,,11.19.2
Climate Change and GHGs,GRI 3: Material Topics 2021,3-3 Management of material topics,54-62,,,,11.1.1
