Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organizational details,Corporate activities and structure - pp.9-16,,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organization’s sustainability reporting,Corporate activities and structure - pp.9-16,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",Corporate activities and structure - pp.9-16,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,Water Resource Management - p.186,,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,Independent audit report - pp.239-241,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships",Corporate activities and structure - pp. 9-16,,,,
,GRI 2: General Disclosures 2021,2-7 Employees,Human Resource Management - pp.85-95,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,Workers who are not employees - p.88,,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,Governance - p.62,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,Board of directors - pp.63-65,,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,Board of directors - pp.63-65,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,Material Impacts Management and Sustainability Reporting - p.82,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,"The Control, Risk and Sustainability Committee - p.66-67; Material Impacts Management and Sustainability Reporting - p.82",,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,Material Impacts Management and Sustainability Reporting - p.82,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,Conflict of Interests - p.81,,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,Communication of Critical Issues and Reports - p.81,,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,Collective knowledge of the highest governing body - pp.82-83,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,Evaluation of the performance of the highest governing body - p.83,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,Remuneration policies - pp.83,,,,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,Remuneration policies - pp.83,,,,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,Remuneration systems - pp.96,,,,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,Letter to stakeholder - p.5; Strategy - p.18,,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,Letter to stakeholder - p.5,,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,Letter to stakeholder - p.5,,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,Prioritisation and materiality - pp.45-60; Mechanisms for requesting clarification and raising concerns - pp.79-80,,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,Mechanisms for requesting clarification and raising concerns - pp.79-80,,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,The internal control and risk management system - pp.67-70,,,,
,GRI 2: General Disclosures 2021,2-28 Membership associations,Trade Union Relations - pp. 42-22,,,,
,GRI 2: General Disclosures 2021,2-29 Approach to stakeholder engagement,The Group Stakeholders - p.41,,,,
,GRI 2: General Disclosures 2021,2-30 Collective bargaining agreements,Remuneration systems - pp.96,,,,
,GRI 3: Material Topics 2021,3-1 Process to determine material topics,Materiality analysis - p.45,,,,
,GRI 3: Material Topics 2021,3-2 List of material topics,Materiality analysis - p.45-60,,,,
Economic performance,GRI 3: Material Topics 2021,3-3 Management of material topics,Economic value generated and distributed - pp.222-223,,,,11.14.1
Economic performance,GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,Economic value generated and distributed - pp.222-223,,,,"11.14.2, 11.21.2"
Economic performance,GRI 201: Economic Performance 2016,201-2 Financial implications and other risks and opportunities due to climate change,Materiality analysis - p.45,,,,11.14.3
Economic performance,GRI 201: Economic Performance 2016,201-4 Financial assistance received from government,Economic value generated and distributed - pp.222-223,,,,11.21.3
Market presence,GRI 3: Material Topics 2021,3-3 Management of material topics,Human Resource Management - pp.85-107,,,,11.14.1
Market presence,GRI 202: Market Presence 2016,202-2 Proportion of senior management hired from the local community,Workforce - pp. 86-88,,,,11.14.3
Indirect economic impacts,GRI 3: Material Topics 2021,3-3 Management of material topics,Creation of Local value - pp.213-214,,,,11.14.1
Indirect economic impacts,GRI 203: Indirect Economic Impacts 2016,203-1 Infrastructure investments and services supported,Creation of Local value - pp.213-214,,,,11.14.4
Indirect economic impacts,GRI 203: Indirect Economic Impacts 2016,203-2 Significant indirect economic impacts,Creation of Local value - pp.213-214,,,,11.14.5
Procurement practices,GRI 3: Material Topics 2021,3-3 Management of material topics,Supplier and procurement management - pp.215-221,,,,11.14.1
Procurement practices,GRI 204: Procurement Practices 2016,204-1 Proportion of spending on local suppliers,Goods and Services - pp.217-218,,,,11.14.6
Anti-corruption,GRI 3: Material Topics 2021,3-3 Management of material topics,Goods and Services - pp.197-198,,,,11.20.1
Anti-corruption,GRI 205: Anti-corruption 2016,205-1 Operations assessed for risks related to corruption,Prevention of corruption - p.77,,,,11.20.2
Anti-corruption,GRI 205: Anti-corruption 2016,205-2 Communication and training about anti-corruption policies and procedures,Competence development - pp.103-106,,,,11.20.3
Anti-corruption,GRI 205: Anti-corruption 2016,205-3 Confirmed incidents of corruption and actions taken,Prevention of corruption - p.77,,,,11.20.4
Tax,GRI 3: Material Topics 2021,3-3 Management of material topics,Tax System - pp.224-225,,,,11.21.1
Tax,GRI 207: Tax 2019,207-1 Approach to tax,Tax System - pp.224-225,,,,11.21.4
Tax,GRI 207: Tax 2019,"207-2 Tax governance, control, and risk management",Tax System - pp.224-225,,,,11.21.5
Tax,GRI 207: Tax 2019,207-3 Stakeholder engagement and management of concerns related to tax,Tax System - pp. 224-225,,,,11.21.6
Tax,GRI 207: Tax 2019,207-4 Country-by-country reporting,Tax System - pp. 224-225,,,,11.21.7
Energy,GRI 3: Material Topics 2021,3-3 Management of material topics,Sustainable energy - p.139,,,,11.1.1
Energy,GRI 302: Energy 2016,302-1 Energy consumption within the organization,Energy management and rational use of energy - pp.140-144,,,,11.1.2
Energy,GRI 302: Energy 2016,302-2 Energy consumption outside of the organization,Energy management and rational use of energy - pp.140-144,,,,11.1.3
Energy,GRI 302: Energy 2016,302-3 Energy intensity,Energy management and rational use of energy - pp.140-144,,,,11.1.4
Water and effluents,GRI 3: Material Topics 2021,3-3 Management of material topics,Water resource management - pp.180-188,,,,11.6.1
Water and effluents,GRI 303: Water and Effluents 2018,303-1 Interactions with water as a shared resource,Water resource management - pp.180-188,,,,11.6.2
Water and effluents,GRI 303: Water and Effluents 2018,303-2 Management of water discharge-related impacts,Water resource management - pp.180-188,,,,11.6.3
Water and effluents,GRI 303: Water and Effluents 2018,303-3 Water withdrawal,Water resource management - pp.180-188,,,,11.6.4
Water and effluents,GRI 303: Water and Effluents 2018,303-4 Water discharge,Water resource management - pp.180-188,,,,11.6.5
Water and effluents,GRI 303: Water and Effluents 2018,303-5 Water consumption,Water resource management - pp.180-188,,,,11.6.6
Biodiversity,GRI 3: Material Topics 2021,3-3 Management of material topics,Biodiversity - pp.189-193,,,,11.4.1
Biodiversity,GRI 304: Biodiversity 2016,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",Biodiversity - pp.189-193,,,,11.4.2
Biodiversity,GRI 304: Biodiversity 2016,"304-2 Significant impacts of activities, products and services on biodiversity",Biodiversity - pp.189-193,,,,11.4.3
Biodiversity,GRI 304: Biodiversity 2016,304-3 Habitats protected or restored,Biodiversity - pp.189-193,,,,11.4.4
Biodiversity,GRI 304: Biodiversity 2016,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,Biodiversity - pp.189-193,,,,11.4.5
Emissions,GRI 3: Material Topics 2021,3-3 Management of material topics,Greenhouse Gas Emissions (GHG) - pp.146-151,,,,11.1.1
Emissions,GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,Greenhouse Gas Emissions (GHG) - pp.146-151,,,,11.1.5
Emissions,GRI 305: Emissions 2016,305-2 Energy indirect (Scope 2) GHG emissions,Greenhouse Gas Emissions (GHG) - pp.146-151,,,,11.1.6
Emissions,GRI 305: Emissions 2016,305-3 Other indirect (Scope 3) GHG emissions,Greenhouse Gas Emissions (GHG) - pp.146-151,,,,11.1.7
Emissions,GRI 305: Emissions 2016,305-4 GHG emissions intensity,Greenhouse Gas Emissions (GHG) - pp.146-151,,,,11.1.8
Emissions,GRI 305: Emissions 2016,305-5 Reduction of GHG emissions,Reduction of GHG emissions - p. 151,,,,11.2.3
Emissions,GRI 305: Emissions 2016,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",Air pollutant emissions - pp.152-164,,,,11.3.2
Effluents and Waste,GRI 3: Material Topics 2021,3-3 Management of material topics,Spills - p.179,,,,
Effluents and Waste,GRI 306: Effluents and Waste 2016,306-3 Significant Spills,Spills - p.179,,,,
Waste,GRI 3: Material Topics 2021,3-3 Management of material topics,Waste management - pp.172-178,,,,11.5.1
Waste,GRI 306: Waste 2020,306-1 Waste generation and significant waste-related impacts,Waste management - pp.172-178,,,,11.5.2
Waste,GRI 306: Waste 2020,306-2 Management of significant waste-related impacts,Waste management - pp.172-178,,,,11.5.3
Waste,GRI 306: Waste 2020,306-3 Waste generated,Waste management - pp.172-178,,,,11.5.4
Waste,GRI 306: Waste 2020,306-4 Waste diverted from disposal,Waste management - pp.172-178,,,,11.5.5
Waste,GRI 306: Waste 2020,306-5 Waste directed to disposal,Waste management - pp.172-178,,,,11.5.6
Supplier environmental assessment,GRI 3: Material Topics 2021,3-3 Management of material topics,Suppliers assessment - pp.219-220,,,,
Supplier environmental assessment,GRI 308: Supplier Environmental Assessment 2016,308-1 New suppliers that were screened using environmental criteria,Suppliers assessment - pp.219-220,,,,
Employment,GRI 3: Material Topics 2021,3-3 Management of material topics,Human Resource Management - pp.85-95,,,,11.10.1
Employment,GRI 401: Employment 2016,401-1 New employee hires and employee turnover,Turnover - pp.88-89,,,,11.10.2
Employment,GRI 401: Employment 2016,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,Welfare - pp.97-99,,,,11.10.3
Employment,GRI 401: Employment 2016,401-3 Parental leave,Parental leave - p.100,,,,"11.10.4, 11.11.3"
Labor/management relations,GRI 3: Material Topics 2021,3-3 Management of material topics,Human Resource Management - pp.85-95,,,,11.10.1
Labor/management relations,GRI 402: Labor/Management Relations 2016,402-1 Minimum notice periods regarding operational changes,Trade Union Relations - pp.108-109,,,,11.10.5
Occupational health and safety,GRI 3: Material Topics 2021,3-3 Management of material topics,Health and Safety - pp.112-113,,,,11.9.1
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-1 Occupational health and safety management system,"Group Management Systems, Accreditations and Authorisations - p.28; Health and safety management - p.112-113",,,,11.9.2
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,"403-2 Hazard identification, risk assessment, and incident investigation","Work Hazard Identification Process and Risk Assessment - pp.113-114; Reporting, Analysis, and Event Management - pp.120-121; Development of safety culture: the BBS protocol - pp.121-123; Safety of Processes, Local Communities, Asset integrity and Major Accident Management - pp.133",,,,11.9.3
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-3 Occupational health services,Worker Health Promotion - p.123,,,,11.9.4
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,"403-4 Worker participation, consultation, and communication on occupational health and safety","Participation, worker consultation and communication - pp.115; Reporting, Analysis, and Event Management - pp.120-121",,,,11.9.5
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-5 Worker training on occupational health and safety,"Worker Information, Education, and Training - p.123",,,,11.9.6
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-6 Promotion of worker health,Worker Health Promotion - p.123,,,,11.9.7
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,Product and substance management - p.127,,,,11.9.8
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-8 Workers covered by an occupational health and safety management system,"Group Management Systems, Accreditations and Authorisations - pp.28; Health and safety management - p.112-113; Safety of Processes, Local Communities, Asset integrity and Major Accident Management - pp.133",,,,11.9.9
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-9 Work-related injuries,Saras Group's Performance in Health and Safety - pp.124-127; Contractors' performance in health and safety - pp.129-132,,,,11.9.10
