Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organisational details,8,,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organisation’s sustainability reporting,6,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",6,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,No Restatements,,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,This report has not been externally assured.,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships","12, 13",,,,
,GRI 2: General Disclosures 2021,2-7 Employees,55-56,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,56,,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,81-82,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,78,,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,81-82,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,78,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,78,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,88,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,91,,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,91,,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,87,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,87,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,82,,,,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,82,,,,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,82,,,,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,"15, 16",,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,90,,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,90,,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,"17, 64",,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,17-19,,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,90,,,,
,GRI 2: General Disclosures 2021,2-28 Membership associations,16,,,,
,GRI 2: General Disclosures 2021,2-29 Approach to stakeholder engagement,17-19,,,,
,GRI 2: General Disclosures 2021,2-30 Collective bargaining agreements,64,,,,
,GRI 3: Material Topics 2021,3-1 Process to determine material topics,16,,,,
