Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organizational details,Nov-18,,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organization’s sustainability reporting,"5, 14",,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",5,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,"32, 33, 35, 36, 38, 42, 49, 51, 63",,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,This report has not been subject to external assurance,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships","15, 16",,,,
,GRI 2: General Disclosures 2021,2-7 Employees,54,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,"54, 47-49",,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,64-66,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,66,,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,"64, 65",,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,"65, 66, 69, 70",,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,"55, 64-66",,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,20,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,67,,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,"23, 58, 68, 73",,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,Please refer to 2023 Annual Report page 21 - 33,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,55,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,66,,,,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,66,,,,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,Not disclosed,,Confidentiality constraints,Due to concerns about competitive sensitivity,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,"6, 7",,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,"30, 39, 43, 60, 67, 68, 75, 78",,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,"30, 39, 43, 60, 67, 68, 75, 78",,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,68,,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,68,,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,"67, 71",,,,
,GRI 2: General Disclosures 2021,2-28 Membership associations,18,,,,
,GRI 2: General Disclosures 2021,2-29 Approach to stakeholder engagement,23,,,,
,GRI 2: General Disclosures 2021,2-30 Collective bargaining agreements,Collective bargaining agreements are illegal in KSA.,,,,
,GRI 3: Material Topics 2021,3-1 Process to determine material topics,"24, 25",,,,
,GRI 3: Material Topics 2021,3-2 List of material topics,"24, 25",,,,
Economic and Business Performance,GRI 3: Material Topics 2021,3-3 Management of material topics,63,,,,"11.2.1, 11.14.1"
Economic and Business Performance,GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,63,,,,11.14.2
Economic and Business Performance,GRI 201: Economic Performance 2016,201-2 Financial implications and other risks and opportunities due to climate change,Not disclosed,,Information unavailable/incomplete,Assessing climate risk is part of the company’s future plans,11.2.2
Economic and Business Performance,GRI 201: Economic Performance 2016,201-3 Defined benefit plan obligations and other retirement plans,Not disclosed,,Confidentiality constraints,Due to sensitive business information,
Economic and Business Performance,GRI 201: Economic Performance 2016,201-4 Financial assistance received from government,The government did not provide any financial assistance,,,,
Economic and Business Performance,GRI 203: Indirect Economic Impacts 2016,203-1 Infrastructure investments and services supported,"78, 79",,,,11.14.4
Economic and Business Performance,GRI 203: Indirect Economic Impacts 2016,203-2 Significant indirect economic impacts,"75, 78, 79",,,,11.14.5
Diversity,GRI 3: Material Topics 2021,3-3 Management of material topics,60,,,,11.1.1
Diversity,GRI 202: Market Presence 2016,202-1 Ratios of standard entry level wage by gender compared to local minimum wage,Not disclosed,,Confidentiality constraints,We do not conduct the necessary assessments but may plan to do so in the future.,
Diversity,GRI 202: Market Presence 2016,202-2 Proportion of senior management hired from the local community,61,,,,11.11.2
Diversity,GRI 405: Diversity and Equal Opportunity 2016,405-1 Diversity of governance bodies and employees,60,,,,11.11.5
Diversity,GRI 405: Diversity and Equal Opportunity 2016,405-2 Ratio of basic salary and remuneration,Not disclosed,,Confidentiality constraints,"We keep this information confidential due to competitiveness, but it may be disclosed in the future",11.11.6
Business Ethics,GRI 3: Material Topics 2021,3-3 Management of material topics,67-71,,,,11.20.1
Business Ethics,GRI 205: Anti-corruption 2016,205-1 Operations assessed for risks related to corruption,67,,,,11.20.2
Business Ethics,GRI 205: Anti-corruption 2016,205-2 Communication and training about anti-corruption policies and procedures,67,,,,11.20.3
Business Ethics,GRI 205: Anti-corruption 2016,205-3 Confirmed incidents of corruption and actions taken,67,,,,11.20.4
Energy Management,GRI 3: Material Topics 2021,3-3 Management of material topics,"34, 35",,,,11.1.1
Energy Management,GRI 302: Energy 2016,302-1 Energy consumption within the organization,35,,,,11.1.2
Energy Management,GRI 302: Energy 2016,302-2 Energy consumption outside of the organization,Not disclosed,,Information unavailable/incomplete,We have not yet measured this because we have not established the necessary data collection mechanisms but plan to in the future,11.1.3
Energy Management,GRI 302: Energy 2016,302-3 Energy intensity,35,,,,11.1.4
Energy Management,GRI 302: Energy 2016,302-4 Reduction of energy consumption,34,,,,
Energy Management,GRI 302: Energy 2016,302-5 Reductions in energy requirements of products and services,Not disclosed,,Information unavailable/incomplete,Complexity of measurement,
Water Use,GRI 3: Material Topics 2021,3-3 Management of material topics,"41, 42",,,,11.6.1
Water Use,GRI 303: Water and Effluents 2018,303-1 Interactions with water as a shared resource,41,,,,11.6.2
Water Use,GRI 303: Water and Effluents 2018,303-2 Management of water discharge-related impacts,41,,,,11.6.3
Water Use,GRI 303: Water and Effluents 2018,303-3 Water withdrawal,42,,,,11.6.4
Water Use,GRI 303: Water and Effluents 2018,303-4 Water discharge,42,,,,11.6.5
Water Use,GRI 303: Water and Effluents 2018,303-5 Water consumption,42,,,,11.6.6
Greenhouse Gas Emissions,GRI 3: Material Topics 2021,3-3 Management of material topics,30-33,,,,"11.1.1, 11.2.1, 11.3.1"
Greenhouse Gas Emissions,GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,32,,,,11.1.5
Greenhouse Gas Emissions,GRI 305: Emissions 2016,305-2 Energy indirect (Scope 2) GHG emissions,32,,,,11.1.6
Greenhouse Gas Emissions,GRI 305: Emissions 2016,305-3 Other indirect (Scope 3) GHG emissions,Not disclosed,,Information unavailable/incomplete,We are considering establishing a data collection mechanism and providing emissions data in the future.,11.1.7
Greenhouse Gas Emissions,GRI 305: Emissions 2016,305-4 GHG emissions intensity,32,,,,11.1.8
Greenhouse Gas Emissions,GRI 305: Emissions 2016,305-5 Reduction of GHG emissions,31,,,,11.2.3
Greenhouse Gas Emissions,GRI 305: Emissions 2016,305-6 Emissions of ozone-depleting substances (ODS),Not disclosed,,Information unavailable/incomplete,We are currently exploring the establishment of a data collection mechanism and plan to track it in the future.,
Greenhouse Gas Emissions,GRI 305: Emissions 2016,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",33,,,,11.3.2
Effluent and Pollutants,GRI 3: Material Topics 2021,3-3 Management of material topics,36-38,,,,11.5.1
Effluent and Pollutants,GRI 306: Waste 2020,306-1 Waste generation and significant waste-related impacts,36,,,,11.5.2
Effluent and Pollutants,GRI 306: Waste 2020,306-2 Management of significant waste-related impacts,36,,,,11.5.3
Effluent and Pollutants,GRI 306: Waste 2020,306-3 Waste generated,36,,,,11.5.4
Effluent and Pollutants,GRI 306: Waste 2020,306-4 Waste diverted from disposal,36,,,,11.5.5
Effluent and Pollutants,GRI 306: Waste 2020,306-5 Waste directed to disposal,36,,,,11.5.6
Hazardous Substance,GRI 3: Material Topics 2021,3-3 Management of material topics,"39, 40",,,,11.8.1
Hazardous Substance,GRI 306: Effluents and Waste 2016,306-3 Significant spills,39,,,,11.8.2
Procurement and Supplier Assessment,GRI 3: Material Topics 2021,3-3 Management of material topics,"75, 76",,,,11.14.1
Procurement and Supplier Assessment,GRI 204: Procurement Practices 2016,204-1 Proportion of spending on local suppliers,76,,,,11.14.6
Procurement and Supplier Assessment,GRI 308: Supplier Environmental Assessment 2016,308-1 New suppliers that were screened using environmental criteria,75,,,,
Procurement and Supplier Assessment,GRI 308: Supplier Environmental Assessment 2016,308-2 Negative environmental impacts in the supply chain and actions taken,Not disclosed,,Confidentiality constraints,Due to internal policies in place,
Procurement and Supplier Assessment,GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,75,,,,"11.10.8, 11.12.3"
Procurement and Supplier Assessment,GRI 414: Supplier Social Assessment 2016,414-2 Negative social impacts in the supply chain and actions taken,Not disclosed,,Confidentiality constraints,Due to internal policies in place,11.10.9
Recruitment and Retention,GRI 3: Material Topics 2021,3-3 Management of material topics,"54, 55",,,,"11.10.1, 11.11.1"
Recruitment and Retention,GRI 401: Employment 2016,401-1 New employee hires and employee turnover,55,,,,11.10.2
Recruitment and Retention,GRI 401: Employment 2016,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,59,,,,11.10.3
