sector_name,topic_id,base_topic_id,topic_name,standards_id,disclosure_id
GRI 11: Oil And Gas Sector 2021,11.1.1,11.1,GHG emissions,GRI 3,3-3
GRI 11: Oil And Gas Sector 2021,11.1.2,11.1,GHG emissions,GRI 302,302-1
GRI 11: Oil And Gas Sector 2021,11.1.3,11.1,GHG emissions,GRI 302,302-2
GRI 11: Oil And Gas Sector 2021,11.1.4,11.1,GHG emissions,GRI 302,302-3
GRI 11: Oil And Gas Sector 2021,11.1.5,11.1,GHG emissions,GRI 305,305-1
GRI 11: Oil And Gas Sector 2021,11.1.6,11.1,GHG emissions,GRI 305,305-2
GRI 11: Oil And Gas Sector 2021,11.1.7,11.1,GHG emissions,GRI 305,305-3
GRI 11: Oil And Gas Sector 2021,11.1.8,11.1,GHG emissions,GRI 305,305-4
GRI 11: Oil And Gas Sector 2021,11.2.1,11.2,"Climate adaptation, resilience, and transition",GRI 3,3-3
GRI 11: Oil And Gas Sector 2021,11.2.2,11.2,"Climate adaptation, resilience, and transition",GRI 201,201-2
GRI 11: Oil And Gas Sector 2021,11.2.3,11.2,"Climate adaptation, resilience, and transition",GRI 305,305-5
GRI 11: Oil And Gas Sector 2021,11.3.1,11.3,Air emissions,GRI 3,3-3
GRI 11: Oil And Gas Sector 2021,11.3.2,11.3,Air emissions,GRI 305,305-7
GRI 11: Oil And Gas Sector 2021,11.3.3,11.3,Air emissions,GRI 416,416-1
GRI 11: Oil And Gas Sector 2021,11.4.1,11.4,Biodiversity,GRI 3,3-3
GRI 11: Oil And Gas Sector 2021,11.4.2,11.4,Biodiversity,GRI 304,304-1
GRI 11: Oil And Gas Sector 2021,11.4.3,11.4,Biodiversity,GRI 304,304-2
GRI 11: Oil And Gas Sector 2021,11.4.4,11.4,Biodiversity,GRI 304,304-3
GRI 11: Oil And Gas Sector 2021,11.4.5,11.4,Biodiversity,GRI 304,304-4
GRI 11: Oil And Gas Sector 2021,11.5.1,11.5,Waste,GRI 3,3-3
GRI 11: Oil And Gas Sector 2021,11.5.2,11.5,Waste,GRI 306,306-1
GRI 11: Oil And Gas Sector 2021,11.5.3,11.5,Waste,GRI 306,306-2
GRI 11: Oil And Gas Sector 2021,11.5.4,11.5,Waste,GRI 306,306-3
GRI 11: Oil And Gas Sector 2021,11.5.5,11.5,Waste,GRI 306,306-4
GRI 11: Oil And Gas Sector 2021,11.5.6,11.5,Waste,GRI 306,306-5
GRI 11: Oil And Gas Sector 2021,11.6.1,11.6,Water and effluents,GRI 3,3-3
GRI 11: Oil And Gas Sector 2021,11.6.2,11.6,Water and effluents,GRI 303,303-1
GRI 11: Oil And Gas Sector 2021,11.6.3,11.6,Water and effluents,GRI 303,303-2
GRI 11: Oil And Gas Sector 2021,11.6.4,11.6,Water and effluents,GRI 303,303-3
GRI 11: Oil And Gas Sector 2021,11.6.5,11.6,Water and effluents,GRI 303,303-4
GRI 11: Oil And Gas Sector 2021,11.6.6,11.6,Water and effluents,GRI 303,303-5
GRI 11: Oil And Gas Sector 2021,11.7.1,11.7,Closure and rehabilitation,GRI 3,3-3
GRI 11: Oil And Gas Sector 2021,11.7.2,11.7,Closure and rehabilitation,GRI 402,402-1
GRI 11: Oil And Gas Sector 2021,11.7.3,11.7,Closure and rehabilitation,GRI 404,404-2
GRI 11: Oil And Gas Sector 2021,11.8.1,11.8,Asset integrity and critical incident management,GRI 3,3-3
GRI 11: Oil And Gas Sector 2021,11.8.2,11.8,Asset integrity and critical incident management,GRI 306,306-3
GRI 11: Oil And Gas Sector 2021,11.9.1,11.9,Occupational health and safety,GRI 3,3-3
GRI 11: Oil And Gas Sector 2021,11.9.2,11.9,Occupational health and safety,GRI 403,403-1
GRI 11: Oil And Gas Sector 2021,11.9.3,11.9,Occupational health and safety,GRI 403,403-2
GRI 11: Oil And Gas Sector 2021,11.9.4,11.9,Occupational health and safety,GRI 403,403-3
GRI 11: Oil And Gas Sector 2021,11.9.5,11.9,Occupational health and safety,GRI 403,403-4
GRI 11: Oil And Gas Sector 2021,11.9.6,11.9,Occupational health and safety,GRI 403,403-5
GRI 11: Oil And Gas Sector 2021,11.9.7,11.9,Occupational health and safety,GRI 403,403-6
